miasto,n,mediana,srednia
KOSOWO,7,255000.0,249142.85714285713
BIELCZYNY,7,340000.0,264557.35714285716
ROGÓWKO,7,250000.0,343734.5714285714
ZAROŚLE,7,305000.0,294285.71428571426
KRZYWOGONIEC,7,304000.0,355571.4285714286
GLISZCZ,7,115000.0,152285.7142857143
WŁODZIMIERZEWO,7,39500.0,32278.042857142857
FLANTROWO,7,110000.0,167142.85714285713
DĄBRÓWKA NOWA,7,575000.0,521285.71428571426
SAMOKLĘSKI DUŻE,7,150000.0,175857.14285714287
SIPIORY,7,115000.0,181083.42857142858
CZYSTE,7,280000.0,284357.14285714284
SIKOROWO,7,150000.0,240000.0
